line: 48   index: 15   original: (   mutated: (!
line: 75   index: 57   original: &   mutated: &&
line: 75   index: 58   original: &   mutated: &&
line: 75   index: 57   original: &   mutated: ||
line: 75   index: 58   original: &   mutated: ||
line: 75   index: 32   original: |   mutated: &
line: 75   index: 33   original: |   mutated: &
line: 75   index: 32   original: |   mutated: ^
line: 75   index: 33   original: |   mutated: ^
line: 75   index: 32   original: |   mutated: &&
line: 75   index: 33   original: |   mutated: &&
line: 75   index: 32   original: |   mutated: ||
line: 75   index: 33   original: |   mutated: ||
line: 75   index: 10   original: !   mutated: ~
line: 75   index: 61   original: !   mutated: ~
line: 75   index: 10   original: !   mutated: 
line: 75   index: 61   original: !   mutated: 
line: 75   index: 57   original: &&   mutated: &
line: 75   index: 57   original: &&   mutated: ||
line: 75   index: 57   original: &&   mutated: && !
line: 75   index: 32   original: ||   mutated: |
line: 75   index: 32   original: ||   mutated: &&
line: 75   index: 32   original: ||   mutated: || !
line: 75   index: 11   original: (   mutated: (!
line: 75   index: 28   original: (   mutated: (!
line: 75   index: 35   original: (   mutated: (!
line: 75   index: 36   original: (   mutated: (!
line: 75   index: 53   original: (   mutated: (!
line: 75   index: 60   original: (   mutated: (!
line: 75   index: 62   original: (   mutated: (!
line: 75   index: 86   original: (   mutated: (!
line: 75   index: 90   original: );   mutated: *0);
line: 75   index: 90   original: );   mutated: *-1);
line: 75   index: 90   original: );   mutated: *2);
line: 79   index: 50   original: >   mutated: !=
line: 79   index: 79   original: >   mutated: !=
line: 79   index: 50   original: >   mutated: <
line: 79   index: 79   original: >   mutated: <
line: 79   index: 50   original: >   mutated: <=
line: 79   index: 79   original: >   mutated: <=
line: 79   index: 50   original: >   mutated: >=
line: 79   index: 79   original: >   mutated: >=
line: 79   index: 50   original: >   mutated: ==
line: 79   index: 79   original: >   mutated: ==
line: 79   index: 50   original: >=   mutated: !=
line: 79   index: 79   original: >=   mutated: !=
line: 79   index: 50   original: >=   mutated: <
line: 79   index: 79   original: >=   mutated: <
line: 79   index: 50   original: >=   mutated: <=
line: 79   index: 79   original: >=   mutated: <=
line: 79   index: 50   original: >=   mutated: >
line: 79   index: 79   original: >=   mutated: >
line: 79   index: 50   original: >=   mutated: ==
line: 79   index: 79   original: >=   mutated: ==
line: 79   index: 8   original: =   mutated: ==
line: 79   index: 51   original: =   mutated: ==
line: 79   index: 80   original: =   mutated: ==
line: 79   index: 8   original: =   mutated: !=
line: 79   index: 51   original: =   mutated: !=
line: 79   index: 80   original: =   mutated: !=
line: 79   index: 8   original: =   mutated: <
line: 79   index: 51   original: =   mutated: <
line: 79   index: 80   original: =   mutated: <
line: 79   index: 8   original: =   mutated: >
line: 79   index: 51   original: =   mutated: >
line: 79   index: 80   original: =   mutated: >
line: 79   index: 8   original: =   mutated: <=
line: 79   index: 51   original: =   mutated: <=
line: 79   index: 80   original: =   mutated: <=
line: 79   index: 8   original: =   mutated: >=
line: 79   index: 51   original: =   mutated: >=
line: 79   index: 80   original: =   mutated: >=
line: 79   index: 8   original: =   mutated: = 0 *
line: 79   index: 51   original: =   mutated: = 0 *
line: 79   index: 80   original: =   mutated: = 0 *
line: 79   index: 8   original: =   mutated: = 0 ;//
line: 79   index: 51   original: =   mutated: = 0 ;//
line: 79   index: 80   original: =   mutated: = 0 ;//
line: 79   index: 8   original: =   mutated: = NULL; //
line: 79   index: 51   original: =   mutated: = NULL; //
line: 79   index: 80   original: =   mutated: = NULL; //
line: 79   index: 8   original: =   mutated: = !
line: 79   index: 51   original: =   mutated: = !
line: 79   index: 80   original: =   mutated: = !
line: 79   index: 29   original: &   mutated: |
line: 79   index: 30   original: &   mutated: |
line: 79   index: 61   original: &   mutated: |
line: 79   index: 62   original: &   mutated: |
line: 79   index: 29   original: &   mutated: ^
line: 79   index: 30   original: &   mutated: ^
line: 79   index: 61   original: &   mutated: ^
line: 79   index: 62   original: &   mutated: ^
line: 79   index: 29   original: &   mutated: &&
line: 79   index: 30   original: &   mutated: &&
line: 79   index: 61   original: &   mutated: &&
line: 79   index: 62   original: &   mutated: &&
line: 79   index: 29   original: &   mutated: ||
line: 79   index: 30   original: &   mutated: ||
line: 79   index: 61   original: &   mutated: ||
line: 79   index: 62   original: &   mutated: ||
line: 79   index: 29   original: &&   mutated: &
line: 79   index: 61   original: &&   mutated: &
line: 79   index: 29   original: &&   mutated: ||
line: 79   index: 61   original: &&   mutated: ||
line: 79   index: 29   original: &&   mutated: && !
line: 79   index: 61   original: &&   mutated: && !
line: 79   index: 26   original: (   mutated: (!
line: 79   index: 32   original: (   mutated: (!
line: 79   index: 64   original: (   mutated: (!
line: 79   index: 86   original: (   mutated: (!
line: 79   index: 88   original: );   mutated: *0);
line: 79   index: 88   original: );   mutated: *-1);
line: 79   index: 88   original: );   mutated: *2);
line: 81   index: 4   original: return   mutated: return 0; //
line: 81   index: 4   original: return   mutated: return 1; //
line: 81   index: 4   original: return   mutated: return NULL; //
line: 81   index: 4   original: return   mutated: return -1; //
line: 81   index: 4   original: return   mutated: return 2*
line: 81   index: 4   original: return   mutated: return -1 *
line: 84   index: 32   original: (   mutated: (!
line: 90   index: 46   original: >   mutated: !=
line: 90   index: 46   original: >   mutated: <
line: 90   index: 46   original: >   mutated: <=
line: 90   index: 46   original: >   mutated: >=
line: 90   index: 46   original: >   mutated: ==
line: 90   index: 21   original: =   mutated: ==
line: 90   index: 21   original: =   mutated: !=
line: 90   index: 21   original: =   mutated: <
line: 90   index: 21   original: =   mutated: >
line: 90   index: 21   original: =   mutated: <=
line: 90   index: 21   original: =   mutated: >=
line: 90   index: 21   original: =   mutated: = 0 *
line: 90   index: 21   original: =   mutated: = 0 ;//
line: 90   index: 21   original: =   mutated: = NULL; //
line: 90   index: 21   original: =   mutated: = !
line: 90   index: 43   original: (   mutated: (!
line: 91   index: 4   original: if (   mutated: if ( !
line: 91   index: 4   original: if (   mutated: if ( ~
line: 91   index: 4   original: if (   mutated: if ( true ||
line: 91   index: 4   original: if (   mutated: if ( false &&
line: 91   index: 7   original: (   mutated: (!
line: 93   index: 50   original: >   mutated: !=
line: 93   index: 81   original: >   mutated: !=
line: 93   index: 50   original: >   mutated: <
line: 93   index: 81   original: >   mutated: <
line: 93   index: 50   original: >   mutated: <=
line: 93   index: 81   original: >   mutated: <=
line: 93   index: 50   original: >   mutated: >=
line: 93   index: 81   original: >   mutated: >=
line: 93   index: 50   original: >   mutated: ==
line: 93   index: 81   original: >   mutated: ==
line: 93   index: 50   original: >=   mutated: !=
line: 93   index: 81   original: >=   mutated: !=
line: 93   index: 50   original: >=   mutated: <
line: 93   index: 81   original: >=   mutated: <
line: 93   index: 50   original: >=   mutated: <=
line: 93   index: 81   original: >=   mutated: <=
line: 93   index: 50   original: >=   mutated: >
line: 93   index: 81   original: >=   mutated: >
line: 93   index: 50   original: >=   mutated: ==
line: 93   index: 81   original: >=   mutated: ==
line: 93   index: 8   original: =   mutated: ==
line: 93   index: 51   original: =   mutated: ==
line: 93   index: 82   original: =   mutated: ==
line: 93   index: 8   original: =   mutated: !=
line: 93   index: 51   original: =   mutated: !=
line: 93   index: 82   original: =   mutated: !=
line: 93   index: 8   original: =   mutated: <
line: 93   index: 51   original: =   mutated: <
line: 93   index: 82   original: =   mutated: <
line: 93   index: 8   original: =   mutated: >
line: 93   index: 51   original: =   mutated: >
line: 93   index: 82   original: =   mutated: >
line: 93   index: 8   original: =   mutated: <=
line: 93   index: 51   original: =   mutated: <=
line: 93   index: 82   original: =   mutated: <=
line: 93   index: 8   original: =   mutated: >=
line: 93   index: 51   original: =   mutated: >=
line: 93   index: 82   original: =   mutated: >=
line: 93   index: 8   original: =   mutated: = 0 *
line: 93   index: 51   original: =   mutated: = 0 *
line: 93   index: 82   original: =   mutated: = 0 *
line: 93   index: 8   original: =   mutated: = 0 ;//
line: 93   index: 51   original: =   mutated: = 0 ;//
line: 93   index: 82   original: =   mutated: = 0 ;//
line: 93   index: 8   original: =   mutated: = NULL; //
line: 93   index: 51   original: =   mutated: = NULL; //
line: 93   index: 82   original: =   mutated: = NULL; //
line: 93   index: 8   original: =   mutated: = !
line: 93   index: 51   original: =   mutated: = !
line: 93   index: 82   original: =   mutated: = !
line: 93   index: 29   original: &   mutated: |
line: 93   index: 30   original: &   mutated: |
line: 93   index: 61   original: &   mutated: |
line: 93   index: 62   original: &   mutated: |
line: 93   index: 29   original: &   mutated: ^
line: 93   index: 30   original: &   mutated: ^
line: 93   index: 61   original: &   mutated: ^
line: 93   index: 62   original: &   mutated: ^
line: 93   index: 29   original: &   mutated: &&
line: 93   index: 30   original: &   mutated: &&
line: 93   index: 61   original: &   mutated: &&
line: 93   index: 62   original: &   mutated: &&
line: 93   index: 29   original: &   mutated: ||
line: 93   index: 30   original: &   mutated: ||
line: 93   index: 61   original: &   mutated: ||
line: 93   index: 62   original: &   mutated: ||
line: 93   index: 29   original: &&   mutated: &
line: 93   index: 61   original: &&   mutated: &
line: 93   index: 29   original: &&   mutated: ||
line: 93   index: 61   original: &&   mutated: ||
line: 93   index: 29   original: &&   mutated: && !
line: 93   index: 61   original: &&   mutated: && !
line: 93   index: 26   original: (   mutated: (!
line: 93   index: 32   original: (   mutated: (!
line: 93   index: 64   original: (   mutated: (!
line: 93   index: 88   original: (   mutated: (!
line: 93   index: 90   original: );   mutated: *0);
line: 93   index: 90   original: );   mutated: *-1);
line: 93   index: 90   original: );   mutated: *2);
line: 97   index: 75   original: >   mutated: !=
line: 97   index: 75   original: >   mutated: <
line: 97   index: 75   original: >   mutated: <=
line: 97   index: 75   original: >   mutated: >=
line: 97   index: 75   original: >   mutated: ==
line: 97   index: 75   original: >=   mutated: !=
line: 97   index: 75   original: >=   mutated: <
line: 97   index: 75   original: >=   mutated: <=
line: 97   index: 75   original: >=   mutated: >
line: 97   index: 75   original: >=   mutated: ==
line: 97   index: 8   original: =   mutated: ==
line: 97   index: 76   original: =   mutated: ==
line: 97   index: 8   original: =   mutated: !=
line: 97   index: 76   original: =   mutated: !=
line: 97   index: 8   original: =   mutated: <
line: 97   index: 76   original: =   mutated: <
line: 97   index: 8   original: =   mutated: >
line: 97   index: 76   original: =   mutated: >
line: 97   index: 8   original: =   mutated: <=
line: 97   index: 76   original: =   mutated: <=
line: 97   index: 8   original: =   mutated: >=
line: 97   index: 76   original: =   mutated: >=
line: 97   index: 8   original: =   mutated: = 0 *
line: 97   index: 76   original: =   mutated: = 0 *
line: 97   index: 8   original: =   mutated: = 0 ;//
line: 97   index: 76   original: =   mutated: = 0 ;//
line: 97   index: 8   original: =   mutated: = NULL; //
line: 97   index: 76   original: =   mutated: = NULL; //
line: 97   index: 8   original: =   mutated: = !
line: 97   index: 76   original: =   mutated: = !
line: 97   index: 57   original: &   mutated: |
line: 97   index: 58   original: &   mutated: |
line: 97   index: 57   original: &   mutated: ^
line: 97   index: 58   original: &   mutated: ^
line: 97   index: 57   original: &   mutated: &&
line: 97   index: 58   original: &   mutated: &&
line: 97   index: 57   original: &   mutated: ||
line: 97   index: 58   original: &   mutated: ||
line: 97   index: 32   original: |   mutated: &
line: 97   index: 33   original: |   mutated: &
line: 97   index: 32   original: |   mutated: ^
line: 97   index: 33   original: |   mutated: ^
line: 97   index: 32   original: |   mutated: &&
line: 97   index: 33   original: |   mutated: &&
line: 97   index: 32   original: |   mutated: ||
line: 97   index: 33   original: |   mutated: ||
line: 97   index: 10   original: !   mutated: ~
line: 97   index: 10   original: !   mutated: 
line: 97   index: 57   original: &&   mutated: &
line: 97   index: 57   original: &&   mutated: ||
line: 97   index: 57   original: &&   mutated: && !
line: 97   index: 32   original: ||   mutated: |
line: 97   index: 32   original: ||   mutated: &&
line: 97   index: 32   original: ||   mutated: || !
line: 97   index: 11   original: (   mutated: (!
line: 97   index: 28   original: (   mutated: (!
line: 97   index: 35   original: (   mutated: (!
line: 97   index: 36   original: (   mutated: (!
line: 97   index: 53   original: (   mutated: (!
line: 97   index: 60   original: (   mutated: (!
line: 97   index: 82   original: (   mutated: (!
line: 97   index: 85   original: );   mutated: *0);
line: 97   index: 85   original: );   mutated: *-1);
line: 97   index: 85   original: );   mutated: *2);
line: 99   index: 4   original: return   mutated: return 0; //
line: 99   index: 4   original: return   mutated: return 1; //
line: 99   index: 4   original: return   mutated: return NULL; //
line: 99   index: 4   original: return   mutated: return -1; //
line: 99   index: 4   original: return   mutated: return 2*
line: 99   index: 4   original: return   mutated: return -1 *
line: 102   index: 21   original: (   mutated: (!
line: 104   index: 28   original: <   mutated: !=
line: 104   index: 28   original: <   mutated: >
line: 104   index: 28   original: <   mutated: <=
line: 104   index: 28   original: <   mutated: >=
line: 104   index: 28   original: <   mutated: ==
line: 104   index: 4   original: return   mutated: return 0; //
line: 104   index: 4   original: return   mutated: return 1; //
line: 104   index: 4   original: return   mutated: return NULL; //
line: 104   index: 4   original: return   mutated: return -1; //
line: 104   index: 4   original: return   mutated: return 2*
line: 104   index: 4   original: return   mutated: return -1 *
line: 104   index: 11   original: (   mutated: (!
line: 104   index: 47   original: );   mutated: *0);
line: 104   index: 47   original: );   mutated: *-1);
line: 104   index: 47   original: );   mutated: *2);
line: 107   index: 21   original: (   mutated: (!
line: 109   index: 30   original: <   mutated: !=
line: 109   index: 30   original: <   mutated: >
line: 109   index: 30   original: <   mutated: <=
line: 109   index: 30   original: <   mutated: >=
line: 109   index: 30   original: <   mutated: ==
line: 109   index: 4   original: return   mutated: return 0; //
line: 109   index: 4   original: return   mutated: return 1; //
line: 109   index: 4   original: return   mutated: return NULL; //
line: 109   index: 4   original: return   mutated: return -1; //
line: 109   index: 4   original: return   mutated: return 2*
line: 109   index: 4   original: return   mutated: return -1 *
line: 109   index: 11   original: (   mutated: (!
line: 109   index: 47   original: );   mutated: *0);
line: 109   index: 47   original: );   mutated: *-1);
line: 109   index: 47   original: );   mutated: *2);
line: 112   index: 16   original: (   mutated: (!
line: 112   index: 0   original: int    mutated: short int 
line: 112   index: 0   original: int    mutated: char 
line: 118   index: 55   original: <   mutated: !=
line: 118   index: 55   original: <   mutated: >
line: 118   index: 55   original: <   mutated: <=
line: 118   index: 55   original: <   mutated: >=
line: 118   index: 55   original: <   mutated: ==
line: 118   index: 89   original: >   mutated: !=
line: 118   index: 89   original: >   mutated: <
line: 118   index: 89   original: >   mutated: <=
line: 118   index: 89   original: >   mutated: >=
line: 118   index: 89   original: >   mutated: ==
line: 118   index: 55   original: <=   mutated: !=
line: 118   index: 55   original: <=   mutated: <
line: 118   index: 55   original: <=   mutated: >
line: 118   index: 55   original: <=   mutated: >=
line: 118   index: 55   original: <=   mutated: ==
line: 118   index: 12   original: =   mutated: ==
line: 118   index: 56   original: =   mutated: ==
line: 118   index: 12   original: =   mutated: !=
line: 118   index: 56   original: =   mutated: !=
line: 118   index: 12   original: =   mutated: <
line: 118   index: 56   original: =   mutated: <
line: 118   index: 12   original: =   mutated: >
line: 118   index: 56   original: =   mutated: >
line: 118   index: 12   original: =   mutated: <=
line: 118   index: 56   original: =   mutated: <=
line: 118   index: 12   original: =   mutated: >=
line: 118   index: 56   original: =   mutated: >=
line: 118   index: 12   original: =   mutated: = 0 *
line: 118   index: 56   original: =   mutated: = 0 *
line: 118   index: 12   original: =   mutated: = 0 ;//
line: 118   index: 56   original: =   mutated: = 0 ;//
line: 118   index: 12   original: =   mutated: = NULL; //
line: 118   index: 56   original: =   mutated: = NULL; //
line: 118   index: 12   original: =   mutated: = !
line: 118   index: 56   original: =   mutated: = !
line: 118   index: 66   original: *   mutated: +
line: 118   index: 117   original: *   mutated: +
line: 118   index: 66   original: *   mutated: -
line: 118   index: 117   original: *   mutated: -
line: 118   index: 66   original: *   mutated: /
line: 118   index: 117   original: *   mutated: /
line: 118   index: 66   original: *   mutated: %
line: 118   index: 117   original: *   mutated: %
line: 118   index: 65   original: /   mutated: %
line: 118   index: 118   original: /   mutated: %
line: 118   index: 65   original: /   mutated: *
line: 118   index: 118   original: /   mutated: *
line: 118   index: 65   original: /   mutated: +
line: 118   index: 118   original: /   mutated: +
line: 118   index: 65   original: /   mutated: -
line: 118   index: 118   original: /   mutated: -
line: 118   index: 30   original: &   mutated: |
line: 118   index: 31   original: &   mutated: |
line: 118   index: 68   original: &   mutated: |
line: 118   index: 69   original: &   mutated: |
line: 118   index: 30   original: &   mutated: ^
line: 118   index: 31   original: &   mutated: ^
line: 118   index: 68   original: &   mutated: ^
line: 118   index: 69   original: &   mutated: ^
line: 118   index: 30   original: &   mutated: &&
line: 118   index: 31   original: &   mutated: &&
line: 118   index: 68   original: &   mutated: &&
line: 118   index: 69   original: &   mutated: &&
line: 118   index: 30   original: &   mutated: ||
line: 118   index: 31   original: &   mutated: ||
line: 118   index: 68   original: &   mutated: ||
line: 118   index: 69   original: &   mutated: ||
line: 118   index: 30   original: &&   mutated: &
line: 118   index: 68   original: &&   mutated: &
line: 118   index: 30   original: &&   mutated: ||
line: 118   index: 68   original: &&   mutated: ||
line: 118   index: 30   original: &&   mutated: && !
line: 118   index: 68   original: &&   mutated: && !
line: 118   index: 33   original: (   mutated: (!
line: 118   index: 71   original: (   mutated: (!
line: 118   index: 62   original: );   mutated: *0);
line: 118   index: 101   original: );   mutated: *0);
line: 118   index: 62   original: );   mutated: *-1);
line: 118   index: 101   original: );   mutated: *-1);
line: 118   index: 62   original: );   mutated: *2);
line: 118   index: 101   original: );   mutated: *2);
line: 119   index: 37   original: ==   mutated: !=
line: 119   index: 37   original: ==   mutated: =
line: 119   index: 37   original: ==   mutated: <
line: 119   index: 37   original: ==   mutated: >
line: 119   index: 37   original: ==   mutated: <=
line: 119   index: 37   original: ==   mutated: >=
line: 119   index: 18   original: =   mutated: ==
line: 119   index: 37   original: =   mutated: ==
line: 119   index: 38   original: =   mutated: ==
line: 119   index: 18   original: =   mutated: !=
line: 119   index: 37   original: =   mutated: !=
line: 119   index: 38   original: =   mutated: !=
line: 119   index: 18   original: =   mutated: <
line: 119   index: 37   original: =   mutated: <
line: 119   index: 38   original: =   mutated: <
line: 119   index: 18   original: =   mutated: >
line: 119   index: 37   original: =   mutated: >
line: 119   index: 38   original: =   mutated: >
line: 119   index: 18   original: =   mutated: <=
line: 119   index: 37   original: =   mutated: <=
line: 119   index: 38   original: =   mutated: <=
line: 119   index: 18   original: =   mutated: >=
line: 119   index: 37   original: =   mutated: >=
line: 119   index: 38   original: =   mutated: >=
line: 119   index: 18   original: =   mutated: = 0 *
line: 119   index: 37   original: =   mutated: = 0 *
line: 119   index: 38   original: =   mutated: = 0 *
line: 119   index: 18   original: =   mutated: = 0 ;//
line: 119   index: 37   original: =   mutated: = 0 ;//
line: 119   index: 38   original: =   mutated: = 0 ;//
line: 119   index: 18   original: =   mutated: = NULL; //
line: 119   index: 37   original: =   mutated: = NULL; //
line: 119   index: 38   original: =   mutated: = NULL; //
line: 119   index: 18   original: =   mutated: = !
line: 119   index: 37   original: =   mutated: = !
line: 119   index: 38   original: =   mutated: = !
line: 120   index: 63   original: ==   mutated: !=
line: 120   index: 63   original: ==   mutated: =
line: 120   index: 63   original: ==   mutated: <
line: 120   index: 63   original: ==   mutated: >
line: 120   index: 63   original: ==   mutated: <=
line: 120   index: 63   original: ==   mutated: >=
line: 120   index: 21   original: =   mutated: ==
line: 120   index: 63   original: =   mutated: ==
line: 120   index: 64   original: =   mutated: ==
line: 120   index: 21   original: =   mutated: !=
line: 120   index: 63   original: =   mutated: !=
line: 120   index: 64   original: =   mutated: !=
line: 120   index: 21   original: =   mutated: <
line: 120   index: 63   original: =   mutated: <
line: 120   index: 64   original: =   mutated: <
line: 120   index: 21   original: =   mutated: >
line: 120   index: 63   original: =   mutated: >
line: 120   index: 64   original: =   mutated: >
line: 120   index: 21   original: =   mutated: <=
line: 120   index: 63   original: =   mutated: <=
line: 120   index: 64   original: =   mutated: <=
line: 120   index: 21   original: =   mutated: >=
line: 120   index: 63   original: =   mutated: >=
line: 120   index: 64   original: =   mutated: >=
line: 120   index: 21   original: =   mutated: = 0 *
line: 120   index: 63   original: =   mutated: = 0 *
line: 120   index: 64   original: =   mutated: = 0 *
line: 120   index: 21   original: =   mutated: = 0 ;//
line: 120   index: 63   original: =   mutated: = 0 ;//
line: 120   index: 64   original: =   mutated: = 0 ;//
line: 120   index: 21   original: =   mutated: = NULL; //
line: 120   index: 63   original: =   mutated: = NULL; //
line: 120   index: 64   original: =   mutated: = NULL; //
line: 120   index: 21   original: =   mutated: = !
line: 120   index: 63   original: =   mutated: = !
line: 120   index: 64   original: =   mutated: = !
line: 120   index: 50   original: &   mutated: |
line: 120   index: 51   original: &   mutated: |
line: 120   index: 50   original: &   mutated: ^
line: 120   index: 51   original: &   mutated: ^
line: 120   index: 50   original: &   mutated: &&
line: 120   index: 51   original: &   mutated: &&
line: 120   index: 50   original: &   mutated: ||
line: 120   index: 51   original: &   mutated: ||
line: 120   index: 50   original: &&   mutated: &
line: 120   index: 50   original: &&   mutated: ||
line: 120   index: 50   original: &&   mutated: && !
line: 122   index: 12   original: =   mutated: ==
line: 122   index: 12   original: =   mutated: !=
line: 122   index: 12   original: =   mutated: <
line: 122   index: 12   original: =   mutated: >
line: 122   index: 12   original: =   mutated: <=
line: 122   index: 12   original: =   mutated: >=
line: 122   index: 12   original: =   mutated: = 0 *
line: 122   index: 12   original: =   mutated: = 0 ;//
line: 122   index: 12   original: =   mutated: = NULL; //
line: 122   index: 12   original: =   mutated: = !
line: 124   index: 16   original: &   mutated: |
line: 124   index: 17   original: &   mutated: |
line: 124   index: 35   original: &   mutated: |
line: 124   index: 36   original: &   mutated: |
